File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,cJSON
/testfiles/json-invalid-single/7364.json,62782,,The process terminated with exit code 139
/testfiles/json-invalid/c90cab3fce264d94993812810e39a637.json,585,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/8516.json,30,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/285.json,3233,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2466.json,1572,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/7576.json,498,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2662.json,1687,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/8345.json,63,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/6602.json,3,,
/testfiles/json-invalid-mult/912.json,115,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/95b73c569a3d4716b9e3f77e3f97df7f.json,16014,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/9b4ff081b2094681b07fb3c5bf077240.json,3365,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/a6f68c2b16bf4a21986464044d63ffff.json,745,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7021.json,12,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/6491.json,1479,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6964.json,22,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/5785.json,1025,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/3790.json,41,,Reported Incomplete
/testfiles/json-invalid-realworld/261.json,334,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/5851.json,228,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2092.json,37,,Reported Incomplete
/testfiles/json-invalid/f5efbed65659481990d9fb3efe250ad6.json,18518,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7896.json,374,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/da69bd52774942b2b0920ad9df3ec62d.json,631,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/203201388ba04f3a82d8fae1206c5856.json,15284,,Reported an incorrect input with exit code 1
