File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,TinyC
/testfiles/tinyc-invalid/7e3031751516a5d0e1dc5a840808e6f2.c,36,,The process terminated with exit code 3
/testfiles/tinyc-invalid/69491d485cac4c496832c4edfeabc701.c,24268,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/76fa143f836e0b90a0bc50cf357120ec.c,32,,Reported Incomplete
/testfiles/tinyc-invalid/6ea98c2fa133ed98e9951517c1a788e4.c,36,,Reported Incomplete
/testfiles/tinyc-invalid-mult/f03c5cec3d87f0844e13ba9c4cd7cd37.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/741c8ef238550834e80ba4070967a20a.c,21,,Reported Incomplete
/testfiles/tinyc-invalid-single/e9fd0c2aa6a72bfdef18109126dfdd7d.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/fc21cfbea2474f618e667f5f2d18cbb9.c,164,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6b467e1c8a2885eade572789d0f0589a.c,24,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/74a1967b2b6846298f7df39e87c3304b.c,19,,Reported Incomplete
/testfiles/tinyc-invalid-mult/ec244e8cc5853f7b3459d4fcc7daf4c2.c,10,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/677c4f19c1827c8fe181a96bc1059bd3.c,16,,Reported Incomplete
/testfiles/tinyc-invalid/7026e8856fb861a9609ee724b7ae5d52.c,16,,The process terminated with exit code 5
/testfiles/tinyc-invalid-mult/e061eef4352334d3ee290fec2baa0b33.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6ccf162881f326af417374075a31017f.c,10617,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/76caac42141cd9b0dcddd44a32149399.c,20440,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/77894e44eb459933500f50e86969585d.c,324,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7f772c4b15210421f28d462fd466434c.c,246,,Reported Incomplete
/testfiles/tinyc-invalid/75d16e2f7913b3469fecb8e6147c5dcd.c,130,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/da06e564702c8fa3165d64219abae6ff.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7819b9ba2bf4947c83b4344df02bf60c.c,36,,The process terminated with exit code 4
/testfiles/tinyc-invalid/6ff76a29313895cb9135921bdf9a423b.c,19178,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/f8e3a93fd340f77b9348830250cc14e8.c,160,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/ea98c1e914dd459eb86996d2ca99bbb6.c,11,,Reported Incomplete
/testfiles/tinyc-invalid-mult/f168f2f055be9849475911aa88a9b0a3.c,17,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/67945a0ce43f5811c4aadcee37c01a85.c,25,,Reported Incomplete
/testfiles/tinyc-invalid/710226d6ac6781ab4f42fa48db76c614.c,24,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6f9de272399cb0ffb0dc8f12911eb298.c,13829,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/79f98b801af6d3f44e953c99715c0226.c,16,,The process terminated with exit code 2
/testfiles/tinyc-invalid-mult/e250bce557c54aed4fd5b49489e6741c.c,17,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e84a7a55ed395c0c0ecc3abbcf439d9e.c,17,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/75cfb956a94371d2616384ccc96deed8.c,56,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/ebe8997df416bfe3763fbb6b3d806801.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6578fd1f0eb88241803525dd4a36418c.c,147,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7535b9000d4d75c9cb6ebf484073865d.c,15,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/ec244e8cc5853f7b3459d4fcc7daf4c2.c,6,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6083440cf8c5d7bdda2db19342c8c95f.c,303,,The process terminated with exit code 104
/testfiles/tinyc-invalid-mult/da06e564702c8fa3165d64219abae6ff.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/f2797c5dcd82275fb0cfcab64f04a9cf.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/63eb7ba5647ea23e5f8d538c699cbada.c,16,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/d89ae260cb9e0a00d8b1448da6b2ce73.c,7,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/df2635637298a79cfe3ef6262492ce1f.c,3,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/74771e943b6ad2a790d3df4f4a083fd4.c,33,,Reported Incomplete
/testfiles/tinyc-invalid-single/df9a8a5d2e129ec5ac4e809b4333265e.c,3,,The process terminated with exit code 3
/testfiles/tinyc-invalid-mult/ed098c718bfe381fac3214222e682427.c,21,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/f77b5dd2ce5604108c3c369a1c362014.c,6,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/ec6295b3be871c32fb13d09ec44ecc12.c,18,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6703a4bcc1fa9e3e553a84e200452d14.c,16,,Reported Incomplete
/testfiles/tinyc-invalid-mult/e2b39c37087833d258ad9a012995f259.c,136,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/77297703c201af5a6aa633f7e34845f1.c,25883,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6f307f6326cda96c4314e2c1f1bceb2e.c,2,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/f6cc4e6f67c806376fb4596a9b7f3227.c,7,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/f77b5dd2ce5604108c3c369a1c362014.c,14,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/efe07d515f1ef758cb564f0186199ec0.c,3,,Reported Incomplete
/testfiles/tinyc-invalid/6be19ce97409039b9d78e2fbc589ac7e.c,22793,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6879f400552228bc5bac67e82fab2a72.c,10,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/67e464dd2679c5e2641f2a0e9379d28c.c,2541,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e1918264e68cc742b823c90b21f63964.c,818,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/ff21ea78c5ffd528e7bc640c76fbc4ca.c,26,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/70cf152f5dddabbf3e3e3a8bc23d0095.c,0,,Reported Incomplete
/testfiles/tinyc-invalid/63a8943e4056877a068639b31229db2b.c,36,,The process terminated with exit code 15
/testfiles/tinyc-invalid-mult/f2797c5dcd82275fb0cfcab64f04a9cf.c,17,,The process terminated with exit code 4
/testfiles/tinyc-invalid-single/e39d529bc7015ec6eaa2b54060d369e4.c,8,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e9caa3ea66b000c4332e58399ab4a444.c,32,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6a60c943349763fecd4936e51067035d.c,290,,Reported an incorrect input with exit code 1
