File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,INI
/testfiles/ini-invalid/f8c87fc0d29e43adb07317fa2ec4cabe.ini,266,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/20a0b99cd2764501bdf5388be8f5bc8f.ini,803,,
/testfiles/ini-invalid/dce4da3038344ef5b9ad38315ed24f64.ini,590,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/8596a423f3234a2e9ad5c081ab3aa3fb.ini,216,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/54a80bdc3ecc41569f798aa786c58fb1.ini,393,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/479d0752cbe94bd99a329f6738b3009c.ini,20561,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/75822dd358784dc686cca39493271d41.ini,462,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/04b78aa09feb4986a5081572e6177328.ini,658,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/05606e4eb3d84e2cbb626a16d9946ddb.ini,63,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/b8ca2ea8f6af47b0ba5b5749cdb1956e.ini,783,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/95c0e7f4c98b40ca9c99c100fd324cfc.ini,45,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/8d5b7c12498e4a4c9bd472c6940690a6.ini,6570,,
/testfiles/ini-invalid/4473b36138f14f208728139231e13d53.ini,118,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/2168b66ad1ac41d685876feb07f248a6.ini,69,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/aa007a540ad34b4da2c030ff7a3f1692.ini,3369,,
/testfiles/ini-invalid/e7188ca963744abf8ebf5b292b15646e.ini,3785,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/716ee960c13a4bd0a754d05c4e27b2dd.ini,221,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/1e977052ac3845068e0482fd6900b05d.ini,136,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/43d41527a7de4b3a9167afb780d2d677.ini,1376,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/650b74f71bec4e2391dc331481e5fb14.ini,418,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/341449945dc446c3b73c5e072851c62d.ini,715,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/ae475ca623e748b2af9d3337f23c2726.ini,29285,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/941abc9fafb44ed8a0a7a6a0935a62fd.ini,16027,,
/testfiles/ini-invalid/5d4b27ca12394f089f575f34b527a9b9.ini,99,,Reported an incorrect input with exit code 1
