File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,SExpParser
/testfiles/sexp-invalid/00324d41d7ed4e28bb474dc0728e0f39.lisp,4181,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/1ed01534186846159cd584bc673bbf62.lisp,1566,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0af54540b2b94159ba1dc4f59dd5b97d.lisp,711,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0758fe85bf75456e9e2b80485ab00d5d.lisp,211,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/00d4f55227d64b25a0ab52d0e38eee55.lisp,7187,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-single/06904a68dd4c4c068ff7ef7fca52ca28.lisp,55,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/00afc7aab44d425cacc75de299d56f1b.lisp,1009,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0bbc8c884d704217b029d84d4668b5da.lisp,34,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/1d7fc015a2724d2e8d788dd3ee66c494.lisp,322,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid/0075e98bc8844fd19fe629ecc356826a.lisp,595,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0b0cdb500783415cb1cdcc9390415d58.lisp,64,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0203059e1b32433da3a3573239f467a7.lisp,47,,Reported Incomplete
/testfiles/sexp-invalid/014a323333694a05ba301ea489c8c9a7.lisp,23469,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/0d20b074b5ca4beda67afa507f3e8848.lisp,374,,Reported an incorrect input with exit code 1
/testfiles/sexp-invalid-mult/095dacec0c6b456ba43dad2cb6e59f82.lisp,24,,Reported an incorrect input with exit code 1
